X,Y
16.87305833,-94.72363611
16.87249167,-94.72276111
16.87257778,-94.72207778
16.873325,-94.72176667
16.87228611,-94.72176667
16.87176944,-94.721625
16.87091667,-94.72183611
16.87045556,-94.72137778
16.86976944,-94.72173333
16.86885833,-94.72194444
16.86812222,-94.722575
16.86751389,-94.72327778
16.86687222,-94.7239
16.88274722,-94.72349167
16.88199722,-94.72293889
16.88188889,-94.72205278
16.88129722,-94.72248056
16.87212222,-94.72336111
16.87178333,-94.72318889
