X,Y,Z1
16.81767778,-94.66438333,94.8
16.81860278,-94.64858333,89.38
16.818475,-94.64753889,89.32
16.81896111,-94.64679722,88.66
16.81937778,-94.64662222,84.23
16.81973611,-94.64647222,89.21
16.81807222,-94.64771111,95.3
16.817325,-94.64735556,95.8
16.81676667,-94.64667222,96.8
16.83292222,-94.64600833,96.3
16.83198056,-94.645675,98.4
16.81762778,-94.65138056,95.8
16.818175,-94.651775,97.8
16.81773889,-94.65234722,94.3
16.81931944,-94.64895,90.02
16.81946667,-94.64776944,88.95
16.82045556,-94.64779167,88.19
16.82010556,-94.64758611,87.2
16.81861389,-94.65212222,90.8
16.87305833,-94.72363611,93.3
16.87249167,-94.72276111,98.2
16.87257778,-94.72207778,98.7
16.873325,-94.72176667,95.3
16.87228611,-94.72176667,92.9
16.87176944,-94.721625,97.8
16.87091667,-94.72183611,93.3
16.87045556,-94.72137778,92.4
16.86976944,-94.72173333,94.8
16.86885833,-94.72194444,96.4
16.86812222,-94.722575,93.8
16.86751389,-94.72327778,93.8
16.86687222,-94.7239,95.8
16.88274722,-94.72349167,92.9
16.88199722,-94.72293889,90.5
16.88188889,-94.72205278,96.3
16.88129722,-94.72248056,92.4
16.87212222,-94.72336111,93.8
16.87178333,-94.72318889,91.5
