X,Y,Z2
16.81767778,-94.66438333,20.9
16.81860278,-94.64858333,22.4
16.818475,-94.64753889,22.6
16.81896111,-94.64679722,22.7
16.81937778,-94.64662222,24.5
16.81973611,-94.64647222,23
16.81807222,-94.64771111,20.9
16.817325,-94.64735556,20.9
16.81676667,-94.64667222,21.2
16.83292222,-94.64600833,21.6
16.83198056,-94.645675,21.7
16.81762778,-94.65138056,20.4
16.818175,-94.651775,21
16.81773889,-94.65234722,19.9
16.81931944,-94.64895,21.8
16.81946667,-94.64776944,22.3
16.82045556,-94.64779167,22.4
16.82010556,-94.64758611,23.2
16.81861389,-94.65212222,19.9
16.87305833,-94.72363611,25.8
16.87249167,-94.72276111,25.5
16.87257778,-94.72207778,25.5
16.873325,-94.72176667,24.4
16.87228611,-94.72176667,25.5
16.87176944,-94.721625,25.2
16.87091667,-94.72183611,25.4
16.87045556,-94.72137778,26
16.86976944,-94.72173333,25.7
16.86885833,-94.72194444,26.7
16.86812222,-94.722575,26.1
16.86751389,-94.72327778,26.3
16.86687222,-94.7239,26.5
16.88274722,-94.72349167,26.4
16.88199722,-94.72293889,26.6
16.88188889,-94.72205278,25.8
16.88129722,-94.72248056,25.9
16.87212222,-94.72336111,26.1
16.87178333,-94.72318889,26.7
