X,Y,Z3
16.81767778,-94.66438333,96.8
16.81860278,-94.64858333,100
16.818475,-94.64753889,100
16.81896111,-94.64679722,100
16.81937778,-94.64662222,100
16.81973611,-94.64647222,100
16.81807222,-94.64771111,100
16.817325,-94.64735556,100
16.81676667,-94.64667222,96.9
16.83292222,-94.64600833,96.5
16.83198056,-94.645675,96.9
16.81762778,-94.65138056,96.8
16.818175,-94.651775,100
16.81773889,-94.65234722,100
16.81931944,-94.64895,92
16.81946667,-94.64776944,91.8
16.82045556,-94.64779167,92
16.82010556,-94.64758611,92.7
16.81861389,-94.65212222,100
16.87305833,-94.72363611,86.8
16.87249167,-94.72276111,85.8
16.87257778,-94.72207778,87.3
16.873325,-94.72176667,94.3
16.87228611,-94.72176667,88.2
16.87176944,-94.721625,96.5
16.87091667,-94.72183611,90.1
16.87045556,-94.72137778,88.2
16.86976944,-94.72173333,86.8
16.86885833,-94.72194444,88.2
16.86812222,-94.722575,86.8
16.86751389,-94.72327778,84.6
16.86687222,-94.7239,93.3
16.88274722,-94.72349167,90.1
16.88199722,-94.72293889,85.5
16.88188889,-94.72205278,88.2
16.88129722,-94.72248056,90.5
16.87212222,-94.72336111,85.9
16.87178333,-94.72318889,88.2
